Date,provincia,Temp_Media,Precipitacion
2015-03-11,Pontevedra,11.4,0
2015-03-11,Salamanca,10.9,0
2015-03-11,Santa Cruz De Tenerife,16.6,0
2015-03-11,Segovia,10.6,0
2015-03-11,Sevilla,16.8,0
2015-03-11,Soria,10.7,0
2015-03-11,Sta. Cruz De Tenerife,16.2,0
2015-03-11,Tarragona,13.7,0
2015-03-11,Teruel,12.5,0
2015-03-11,Toledo,13.6,0
2015-03-11,Valencia,14.2,0
2015-03-11,Valladolid,10.5,0
2015-03-11,Zamora,11.5,0
2015-03-11,Zaragoza,13.7,0
2015-03-12,A Coruña,10.1,2.5
2015-03-12,Albacete,13.9,0
2015-03-12,Alicante,16.4,0
2015-03-12,Almeria,15.4,0
2015-03-12,Araba/Alava,11.1,0.5
2015-03-12,Asturias,10,4.2
2015-03-12,Avila,11.3,0
2015-03-12,Badajoz,12.8,0
2015-03-12,Baleares,13.2,0
2015-03-12,Barcelona,12.7,0
2015-03-12,Bizkaia,10,1.9
2015-03-12,Burgos,10.3,0
2015-03-12,Caceres,13.1,0
2015-03-12,Cadiz,13.8,0
2015-03-12,Cantabria,10.3,2.5
2015-03-12,Castellon,14.6,0
2015-03-12,Ceuta,17.1,0
2015-03-12,Ciudad Real,13.4,0
2015-03-12,Cordoba,14.6,0
2015-03-12,Cuenca,11.1,0
2015-03-12,Gipuzkoa,11,5
2015-03-12,Girona,12.5,0
2015-03-12,Granada,14.9,0
2015-03-12,Guadalajara,11.4,0
2015-03-12,Huelva,14.7,0
2015-03-12,Huesca,12.7,0
2015-03-12,Illes Balears,13.1,0
2015-03-12,Jaen,15.6,0
2015-03-12,La Rioja,11.7,0.1
2015-03-12,Las Palmas,17.6,0
2015-03-12,Leon,9.8,0.1
2015-03-12,Lleida,12.2,0
2015-03-12,Lugo,8.7,2.1
2015-03-12,Madrid,12.2,0
2015-03-12,Malaga,17.1,0
2015-03-12,Melilla,17.4,0
2015-03-12,Murcia,17.1,0
2015-03-12,Navarra,12,0.8
2015-03-12,Ourense,8.5,0.1
2015-03-12,Palencia,9.9,0
2015-03-12,Pontevedra,9.7,0.9
2015-03-12,Salamanca,9.9,0
2015-03-12,Santa Cruz De Tenerife,16.7,0
2015-03-12,Segovia,10.4,0
2015-03-12,Sevilla,14.7,0
2015-03-12,Soria,10.1,0
2015-03-12,Sta. Cruz De Tenerife,16.4,0
2015-03-12,Tarragona,14.7,0
2015-03-12,Teruel,12.6,0
2015-03-12,Toledo,12.7,0
2015-03-12,Valencia,16.2,0
2015-03-12,Valladolid,10,0
2015-03-12,Zamora,10,0
2015-03-12,Zaragoza,13.8,0
2015-03-13,A Coruña,9.3,0
2015-03-13,Albacete,11.2,0
2015-03-13,Alicante,13.2,0.1
2015-03-13,Almeria,13.6,0
2015-03-13,Araba/Alava,6.2,5.3
2015-03-13,Asturias,7.6,1.7
2015-03-13,Avila,8.2,0
2015-03-13,Badajoz,11.4,0
2015-03-13,Baleares,11.8,0.1
2015-03-13,Barcelona,10.8,0.3
2015-03-13,Bizkaia,8.2,9.3
2015-03-13,Burgos,6,0.2
2015-03-13,Caceres,12.5,0
2015-03-13,Cadiz,13.1,0
2015-03-13,Cantabria,7.8,4.4
2015-03-13,Castellon,9.5,0
2015-03-13,Ceuta,15.8,0
2015-03-13,Ciudad Real,11.5,0
2015-03-13,Cordoba,12.3,0
2015-03-13,Cuenca,8.7,0
2015-03-13,Gipuzkoa,7.9,15.5
2015-03-13,Girona,11.3,9.4
2015-03-13,Granada,12.8,0
2015-03-13,Guadalajara,8.4,0
2015-03-13,Huelva,12.4,0
2015-03-13,Huesca,8.7,0.1
2015-03-13,Illes Balears,11.8,0.1
2015-03-13,Jaen,13.3,0
2015-03-13,La Rioja,6.7,0.3
2015-03-13,Las Palmas,15.8,0.1
2015-03-13,Leon,6.3,0.1
2015-03-13,Lleida,8.4,0.9
2015-03-13,Lugo,7.6,0
2015-03-13,Madrid,9.8,0
2015-03-13,Malaga,15.2,0
2015-03-13,Melilla,16.8,0
